FID_gggg,Y_Bike_accidents_density,X1_Proportion_of_mainroad,X2_Proportion_of_busline,X3_Proportion_of_cycleline,X4_Proportion_of_mixedline,X5_Proportion_of_20limit,X6_Cross_road_density,X7_Carpark_density,X8_Altitude_STD,X9_TfcLight_density,X10_Light_density,X11_Light_flux_density,X12_Limit30
50,0.001046,0.612589836,0.04072009,0.504392047,0.104231762,0,0.029537303,0.024396593,2.921652077,0.08991887,0.238912347,1.509801439,0.364469045
17,0.000256,0.361579618,0.009310212,0.055190558,0.083068567,0,0.017507802,0.00396162,6.527814445,0.003450443,0.017252214,0.215045654,0.303101472
32,0.000913,0.104789905,0.162119665,0.01411085,0.270783392,0,0.014153034,0.003195846,1.324996886,0.029827899,0.051742274,0.597297589,0.190950092
51,0.000969,0.284709361,0.064667498,0.03266789,0.165530263,0,0.014944185,0.004427907,2.222775138,0.006365116,0.032794183,0.310682681,0.364469045
53,0.001164,0.402619169,0.058452217,0.122203498,0.139232424,0,0.018971386,0.0010475,2.68554696,0.031541384,0.031308606,0.45376412,0.364469045
69,0.001497,0.565010436,0.85236884,1.076002481,0.580281609,0,0.028447486,0.017966833,2.732260603,0.049408791,0.0539005,0.681983559,0.473641082
91,0.002534,0.070751043,0.10579901,0.205902483,0.048092149,0,0.021922662,0.004406565,3.006163547,0.052768618,0.040540399,0.589394615,0.515278324
92,0.000559,0.00100732,0.107385895,0.226824461,0.048813485,0,0.013194345,0.00413721,3.951574813,0.011293465,0.015095226,0.220683813,0.515278324
93,0.00036,0.322221223,0.069192557,0.18543172,0.031452267,0,0.023487434,0.005835835,2.206551252,0.030548074,0.214124708,0.852717429,0.515278324
110,0.000348,0.018422811,0.031018425,0.062038331,0.287469005,0,0.021907777,0.003999039,3.569980401,0.006607107,0.028514884,0.427714565,0.406096811
111,0.000313,0.110866955,0.01860312,0.059267961,0.172407866,0,0.01261767,0.004483966,3.230342242,0.011366331,0.031387759,0.381590682,0.406096811
54,0.000719,0.431932664,0.090231311,0.027750295,0.214929812,0,0.015271674,0.001437334,1.611780806,0,0.015451341,0.256466208,0.364469045
73,0.001505,0.009638158,0.056367193,0.003701803,0.05831726,0,0.014445076,0.001504695,7.955178314,0,0.009329111,0.191096316,0.473641082
16,0.001035,0.200798266,0.012566447,0.011945871,0.112121692,0,0.017076513,0.00189739,1.963673012,0.008452011,0.011729322,0.10193902,0.303101472
35,0.000528,0.15622163,0.281230553,0.024478228,0.469730573,0,0.012935686,0.00950377,1.140572356,0.000527987,0.023231437,0.20824739,0.190950092
56,0.000079,0.40974246,0.039609323,0.012181696,0.094348895,0,0.026105732,0.00772919,2.268515118,0.030837889,0.300018746,2.366040185,0.364469045
74,0.000669,0.339532626,0.035785695,0.38917305,0.037023729,0,0.016239796,0.002006092,0.963079436,0.004298769,0.309511401,0.756849472,0.473641082
6,0.001071,0.999997612,0,0,0,0,0.036402435,0.007494619,0.380423448,0.049250354,0.084582129,1.216001944,0.003244673
33,0.000117,0.182751625,0.124688054,0.010852813,0.208262547,0,0.012875035,0.00081932,1.999283483,0,0.003979556,0.0728727,0.190950092
34,0.001176,0.143644812,0.178928693,0.015573903,0.298858984,0,0.012765107,0.001175734,0,0,0.002015543,0.03460016,0.190950092
15,0.002419,0.263523675,0.058741389,0.05584053,0.524108697,0,0.025801544,0,3.276689746,0.024995246,0.068535351,0.59551173,0.303101472
152,0.001209,0.083222892,0.065014333,0.17174623,0.086056688,0,0.03162445,0.043408083,17.95143196,0.035602685,0.097089077,0.712823369,0.339738758
153,0.001757,0.071123134,0.078106476,0.1684605,0.105489273,0,0.032602239,0.043964216,20.89185437,0.047595364,0.095620218,0.699329534,0.533025453
154,0.002576,0.11732564,0.026821049,0.027416874,0.123540901,0.046254942,0.029305854,0.035102617,4.170094857,0.046180874,0.089527775,0.799268166,0.499816758
155,0.003382,0.09520413,0.021537673,0.452144971,0.22120741,0,0.02410457,0.030004793,1.658320848,0.062168204,0.130812263,0.813939011,0.119929089
169,0.001429,0.582222181,0.009618734,0.074115957,0.250525577,0,0.027725767,0.01829329,4.422803342,0.070600666,0.096754354,1.338976781,0.036751286
170,0.000661,0.338769722,0.01075275,0.202771686,0.105532515,0.024083297,0.030538988,0.016772397,3.499363955,0.054224739,0.105203208,1.242029674,0.051887671
171,0.001058,0.381513799,0.028499516,0.10020225,0.406034111,0,0.026075112,0.014284627,3.075135117,0.035673777,0.112463093,1.266576664,0.164753388
172,0.001272,0.432884301,0.013319895,0.159737149,0.046432532,0,0.027178514,0.005642323,2.13376951,0.069138326,0.103310143,1.543857634,0.023722662
157,0.001226,0.432905515,0.023927772,0.557919996,0.047665354,0,0.028916292,0.007254617,2.436598826,0.068459066,0.26811431,2.737734229,0.441012532
156,0.00206,0.133756179,0.020550374,0.526684059,0.050321524,0,0.02842339,0.026089102,3.508539929,0.040163485,0.090556645,0.621099467,0.441012532
173,0.001346,0.42009431,0.01611527,0.42591298,0.076122118,0,0.023844493,0.015864279,2.054987016,0.086917022,0.262193273,1.795358102,0.049318395
174,0.000795,0.42733805,0.013323519,0.315936491,0.035687635,0,0.028298783,0.005723349,1.575932788,0.083545003,0.207232943,2.0656824,0.049318395
